OTU26; Ophiuroid: on sand
OTU60; Ophuiroid: on coral/rock
OTU70; Ophiuroid 
OTU71; Ophiuroid 
OTU100; Ophuiroid: Ophiactis abyssicola (orange arms)
OTU131; Crinoid: yellow with delicate
OTU150; Ophiuroid
OTU168; Asteroid: Crossaster papposus
OTU188; Echinoid: Calveriosoma fenestratum
OTU190; Asteroid: Pterasteridae sp
OTU194; Echinoid: white and red
OTU198; Asteroid: Stichastrella rosea
OTU199; Asteroid: Velatida sp
OTU208; Asteroid: Henricia sanguinolenta
OTU211; Echinoid: Cidaris cidaris
OTU214; Asteroid: Gorgonocephalus sp
OTU216; Crinoid: Heliometra glacialis (yellow)
OTU226; Asteroid: Astropecten irregularis
OTU231; Asteroid: Asterias rubens
OTU234; Asteroid: Ceramaster / Peltaster / Plinthaster
OTU246; Ophiuroid:Ophiactis balli
OTU252; Holothurian: Psolus squamatus
OTU263; Asteroid: Porania pulvillus
OTU266; Holothurian: Stichopus tremulus
OTU274; Asteroid: Brisingella coronata / Brisinga endecacnemos
OTU279; Echinoid: bright red
OTU299; Asteroid: Pterastid
OTU315; Crinoid: Koehlermetra porrecta
OTU329; Ophiuroid: brown Ophiothrix looking 
OTU332; Crinoid: stalked
OTU340; Ophiuroid: red
OTU371; Crinoid: white with red stripes
OTU376; Ophiuroid
OTU388; Asteroid: Ceramaster/Peltaster/Plinthaster
OTU394; Asteroid: Plutonaster bifrons
OTU398; Holothurian
OTU432; Holothurian: Benthogone sp.
OTU433; Asteroid: Pseudarchaster sp
OTU436; Crinoid: 5 armed
OTU437; Crinoid: Leptometra celtica
OTU445; Echinoid: Echinus sp.
OTU448; Asteroid: Luidia ciliaris
OTU451; Ophiuroid: Ophiothrix fragilis
OTU456; Crinoid: could be juvenile
OTU471; Ophiuroid: Asteronyx loveni
OTU513; Crinoid: white
OTU534; Ophiuroid
OTU536; Holothurian: Mesothuria intestinalis
OTU537; Echinoid: Spatangus rashii
OTU538; Echinoid: Large, orange
OTU542; Asteroid: Hippasteria phrygiana
OTU551; Ophiuroid: Ophiomusium lymani
OTU553; Asteroid: white brisingid
OTU555; Echinoid: pale
OTU559; Echinoid: Echinus acutus
OTU572; Echinoid: large white
OTU573; Asteroid: Solaster endeca
OTU574; Holothurian: pale
OTU587; Asteroid
OTU598; Crinoid: Stalked
OTU600; Crinoid: browm assoc with sponge
OTU619; Crinoid: Stalked
